Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude,Average Price,Average Rating
7970,53.2,168.0,99.0,69.0,0.4107142857142857,233750.0,Mount Freedom,Morris,40.813281,-74.57267,1.6923076923076923,4.25
8226,53.2,11328.0,10320.0,820.0,0.07238700564971752,72715.0,Ocean City,Cape May,39.265371,-74.59380999999998,1.6,4.463157894736842
7750,53.3,3237.0,3079.0,127.0,0.03923385851096695,110380.0,Monmouth Beach,Monmouth,40.332877,-73.97986,1.7272727272727273,4.336842105263158
8348,54.3,131.0,131.0,0.0,0.0,56838.0,Port Elizabeth,Cumberland,39.314084,-74.97889,1.25,4.0
8750,55.4,3272.0,3139.0,100.0,0.030562347188264057,117950.0,Sea Girt,Monmouth,40.133754,-74.04123,1.6666666666666667,4.310526315789474
8203,55.6,9164.0,8198.0,887.0,0.09679179397642952,65724.0,Brigantine,Atlantic,39.401801,-74.38016999999998,1.5384615384615385,4.173684210526316
8758,58.4,7651.0,7405.0,220.0,0.028754411188079986,66692.0,Waretown,Ocean,39.784513,-74.22376,1.3333333333333333,4.252631578947368
7976,58.7,608.0,608.0,0.0,0.0,116019.0,New Vernon,Morris,40.733739,-74.48850999999998,1.6666666666666667,4.110526315789474
7723,58.9,749.0,617.0,120.0,0.1602136181575434,77778.0,Deal,Monmouth,40.250104,-74.00153,1.8888888888888888,4.2631578947368425
7756,59.0,2943.0,2764.0,179.0,0.06082229018008835,60000.0,Ocean Grove,Monmouth,40.211982,-74.00916,1.9230769230769231,4.394736842105263
8752,59.7,2200.0,2137.0,23.0,0.010454545454545454,62464.0,Seaside Park,Ocean,39.920268,-74.07967,1.9,4.245
8038,59.8,67.0,67.0,0.0,0.0,49583.0,Hancocks Bridge,Salem,39.481009,-75.50618,0.0,4.75
8402,60.6,6200.0,5743.0,403.0,0.065,69896.0,Margate City,Atlantic,39.329416,-74.50661,1.7692307692307692,4.29
8247,61.5,1037.0,1010.0,25.0,0.024108003857280614,101484.0,Stone Harbor,Cape May,39.051289,-74.76204,2.2,4.288888888888889
8243,62.9,1971.0,1880.0,75.0,0.0380517503805175,72153.0,Sea Isle City,Cape May,39.145755,-74.69865,2.0,4.227777777777778
8757,63.1,33534.0,29903.0,2830.0,0.08439196039840162,40767.0,Toms River,Ocean,39.975967,-74.25296,1.25,4.115
8403,63.2,1088.0,1048.0,35.0,0.03216911764705882,118393.0,Longport,Atlantic,39.314766,-74.52675,2.0,4.39
8735,63.8,3582.0,3327.0,241.0,0.06728084868788388,68224.0,Lavallette,Ocean,39.982101,-74.06768000000002,1.4285714285714286,4.19
8008,64.4,6923.0,6716.0,197.0,0.028455871731908125,82047.0,Beach Haven,Ocean,39.614596,-74.2005,1.75,4.2368421052631575
8202,64.6,1525.0,1483.0,34.0,0.02229508196721312,87273.0,Avalon,Cape May,39.092928,-74.72688000000002,1.6363636363636365,4.175
8212,68.0,204.0,199.0,4.0,0.0196078431372549,46964.0,Cape May Point,Cape May,38.936896,-74.96526,2.0,4.436842105263158
8738,68.6,1028.0,999.0,24.0,0.02334630350194553,84167.0,Mantoloking,Ocean,40.025258,-74.05579,1.6666666666666667,4.38
8759,68.6,32970.0,29604.0,2927.0,0.08877767667576585,38212.0,Manchester Township,Ocean,39.943541,-74.36949,1.0,4.122222222222222
8321,69.6,200.0,200.0,0.0,0.0,24773.0,Fortescue,Cumberland,39.239649,-75.17225,1.3333333333333333,4.466666666666667
8006,69.7,365.0,346.0,15.0,0.0410958904109589,67750.0,Barnegat Light,Ocean,39.75196,-74.11074,2.0,4.37
