Zip Code,Median Age,U.S. Born,Foreign Born,Foreign Born Percent,Household Income,City,Average Price,Average Rating
7003,37.7,34427,12653,26.88,74961,Bloomfield,1.5,3.99
7004,46.2,6333,1188,15.8,107417,Fairfield,1.2,4
7006,45.2,22058,3389,13.32,114096,Caldwell,1.733333333,4.33
7009,48.3,10660,1862,14.87,115926,Cedar Grove,1.533333333,4.122222222
7017,37.7,26057,9478,26.67,41322,East Orange,1,4.105263158
7018,36,21106,7455,26.1,42335,East Orange,1.083333333,4.1
7021,46.6,1910,148,7.19,198750,Essex Fells,1.636363636,4.345
7028,42.1,6755,931,12.11,195714,Glen Ridge,1.636363636,4.257894737
7039,44.7,22464,7139,24.12,153381,Livingston,1.777777778,4.283333333
7040,39.8,19394,4785,19.79,125036,Maplewood,1.833333333,4.34
7041,38.5,5267,1949,27.01,104786,Millburn,1.875,4.305263158
7042,38.4,22123,3822,14.73,97920,Montclair,1.933333333,4.305263158
7043,40.9,11049,1467,11.72,191449,Montclair,1.75,4.4
7044,44.6,11756,2039,14.78,110745,Verona,1.714285714,4.436842105
7050,35,18753,11213,37.42,38506,Orange,1.4,4.133333333
7052,41.3,33204,13939,29.57,93954,West Orange,1.583333333,4.105555556
7068,48.8,5001,887,15.06,110208,Roseland,1.75,4.16
7078,42.2,10277,2632,20.39,250001,Short Hills,1.866666667,4.26
7079,33.5,13968,2364,14.47,121637,South Orange,1.666666667,4.185
7102,32,9139,3229,26.11,24353,Newark,1.333333333,3.961111111
7103,31.3,25826,5845,18.46,27859,Newark,1,4.233333333
7104,33.7,30382,13468,30.71,36547,Newark,1.2,4.047368421
7105,34.9,21241,29777,58.37,45227,Newark,1.555555556,4.210526316
7106,33.2,23353,9385,28.67,37421,Newark,1.090909091,4.195
7107,32.1,22634,11642,33.97,30779,Newark,1.222222222,4.105555556
7108,31.6,18177,3208,15,25192,Newark,1.285714286,4.266666667
7109,38.8,24015,11036,31.49,67782,Belleville,1.363636364,4.410526316
7110,41.2,22789,5350,19.01,94128,Nutley,1.625,4.2
7111,34.6,35780,17829,33.26,39734,Irvington,1,4.105263158
7112,36.1,22034,3676,14.3,35765,Newark,1.166666667,4.088888889
7114,35.2,10055,2919,22.5,26326,Newark,2,3.161111111
