Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude,Average Price,Average Rating
7003,37.7,48892.0,34427.0,12653.0,0.2587948948703264,74961.0,Bloomfield,Essex,40.803000000000004,-74.18895,1.5,3.9899999999999998
7004,46.2,7584.0,6333.0,1188.0,0.15664556962025314,107417.0,Fairfield,Essex,40.879049,-74.29378,1.2,3.988888888888889
7006,45.2,25712.0,22058.0,3389.0,0.13180616054760425,114096.0,Caldwell,Essex,40.848999,-74.27917,1.7333333333333334,4.33
7009,48.3,12638.0,10660.0,1862.0,0.14733343883525873,115926.0,Cedar Grove,Essex,40.855854,-74.22898,1.5333333333333334,4.122222222222222
7017,37.7,36304.0,26057.0,9478.0,0.2610731599823711,41322.0,East Orange,Essex,40.770933,-74.20589,1.0,4.105263157894737
7018,36.0,28922.0,21106.0,7455.0,0.2577622571053177,42335.0,East Orange,Essex,40.75555,-74.21897,1.0833333333333333,4.11
7021,46.6,2071.0,1910.0,148.0,0.07146306132303235,198750.0,Essex Fells,Essex,40.827498999999996,-74.28090999999998,1.6363636363636365,4.345
7028,42.1,7791.0,6755.0,931.0,0.11949685534591195,195714.0,Glen Ridge,Essex,40.80495,-74.2047,1.6363636363636365,4.257894736842105
7039,44.7,29955.0,22464.0,7139.0,0.2383241528960107,153381.0,Livingston,Essex,40.788733,-74.32134,1.7777777777777777,4.311111111111111
7040,39.8,24543.0,19394.0,4785.0,0.1949639408385283,125036.0,Maplewood,Essex,40.728901,-74.26821,1.8333333333333333,4.315
7041,38.5,7283.0,5267.0,1949.0,0.26760950157901964,104786.0,Millburn,Essex,40.724168,-74.29913,1.875,4.3052631578947365
7042,38.4,26323.0,22123.0,3822.0,0.14519621623675116,97920.0,Montclair,Essex,40.81315,-74.21576,1.9333333333333333,4.268421052631579
7043,40.9,12689.0,11049.0,1467.0,0.11561194735597766,191449.0,Montclair,Essex,40.844198999999996,-74.20218,1.7692307692307692,4.405263157894737
7044,44.6,13893.0,11756.0,2039.0,0.14676455769092348,110745.0,Verona,Essex,40.832449,-74.24226999999998,1.5714285714285714,4.442105263157895
7050,35.0,30644.0,18753.0,11213.0,0.3659117608667276,38506.0,Orange,Essex,40.7683,-74.23603,1.4,4.122222222222222
7052,41.3,47609.0,33204.0,13939.0,0.29278077674389297,93954.0,West Orange,Essex,40.78865,-74.25541,1.5833333333333333,4.105555555555555
7068,48.8,5907.0,5001.0,887.0,0.15016082613847978,110208.0,Roseland,Essex,40.821799,-74.30476999999998,1.75,4.16
7078,42.2,13097.0,10277.0,2632.0,0.20096205237840728,250001.0,Short Hills,Essex,40.73915,-74.32749,1.8666666666666667,4.26
7079,33.5,16503.0,13968.0,2364.0,0.14324668242137792,121637.0,South Orange,Essex,40.74765,-74.25881,1.6666666666666667,4.18
7102,32.0,12986.0,9139.0,3229.0,0.2486523948868012,24353.0,Newark,Essex,40.735257,-74.17326,1.3333333333333333,3.9611111111111112
7103,31.3,32610.0,25826.0,5845.0,0.1792394970867832,27859.0,Newark,Essex,40.738501,-74.19507,1.0,4.227777777777778
7104,33.7,51398.0,30382.0,13468.0,0.2620335421611736,36547.0,Newark,Essex,40.767702,-74.16830999999998,1.2,4.052631578947368
7105,34.9,53323.0,21241.0,29777.0,0.5584269452206365,45227.0,Newark,Essex,40.725801000000004,-74.15205999999998,1.5555555555555556,4.2105263157894735
7106,33.2,33140.0,23353.0,9385.0,0.2831925165962583,37421.0,Newark,Essex,40.742251,-74.23006,1.0909090909090908,4.195
7107,32.1,37797.0,22634.0,11642.0,0.3080138635341429,30779.0,Newark,Essex,40.760667,-74.1879,1.2222222222222223,4.111111111111111
7108,31.6,21993.0,18177.0,3208.0,0.1458645932796799,25192.0,Newark,Essex,40.722751,-74.2014,1.2857142857142858,4.277777777777778
7109,38.8,36344.0,24015.0,11036.0,0.3036539731454986,67782.0,Belleville,Essex,40.7935,-74.16144,1.3636363636363635,4.41578947368421
7110,41.2,28722.0,22789.0,5350.0,0.1862683657126941,94128.0,Nutley,Essex,40.8196,-74.15876999999998,1.625,4.195
7111,34.6,54715.0,35780.0,17829.0,0.3258521429224161,39734.0,Irvington,Essex,40.725651,-74.23207,1.0,4.105263157894737
7112,36.1,26016.0,22034.0,3676.0,0.14129766297662974,35765.0,Newark,Essex,40.711651,-74.21303,1.1666666666666667,4.131578947368421
7114,35.2,13698.0,10055.0,2919.0,0.2130968024529128,26326.0,Newark,Essex,40.707553000000004,-74.17883,2.0,3.177777777777778
