Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude,Average Price,Average Rating
8329,45.5,108.0,108.0,0.0,0.0,93098.0,Mauricetown,Cumberland,39.28546400000001,-74.99687,1.2,4.344444444444445
7846,15.8,46.0,46.0,0.0,0.0,207969.0,Johnsonburg,Warren,40.966266,-74.87979,1.8,4.5600000000000005
7851,52.0,36.0,36.0,0.0,0.0,101250.0,Layton,Sussex,41.172968,-74.88301,3.0,4.6
8350,23.3,1327.0,1310.0,0.0,0.0,58077.0,Richland,Atlantic,39.490774,-74.87045,1.4615384615384615,4.173684210526316
8348,54.3,131.0,131.0,0.0,0.0,56838.0,Port Elizabeth,Cumberland,39.314084,-74.97889,1.25,4.0
8014,32.2,659.0,659.0,0.0,0.0,107838.0,Bridgeport,Gloucester,39.803646,-75.34421,1.25,4.3
8321,69.6,200.0,200.0,0.0,0.0,24773.0,Fortescue,Cumberland,39.239649,-75.17225,1.3333333333333333,4.466666666666667
8324,51.3,188.0,186.0,0.0,0.0,88571.0,Heislerville,Cumberland,39.218484,-74.99001,1.0,4.5
8039,34.0,115.0,109.0,0.0,0.0,68676.0,Harrisonville,Gloucester,39.685445,-75.2669,1.6363636363636365,4.294736842105263
8038,59.8,67.0,67.0,0.0,0.0,49583.0,Hancocks Bridge,Salem,39.481009,-75.50618,0.0,4.75
8248,47.3,257.0,257.0,0.0,0.0,222031.0,Strathmere,Cape May,39.197394,-74.65699000000002,1.7,4.3052631578947365
7976,58.7,608.0,608.0,0.0,0.0,116019.0,New Vernon,Morris,40.733739,-74.48850999999998,1.6666666666666667,4.110526315789474
8023,47.5,371.0,371.0,0.0,0.0,28785.0,Deepwater,Salem,39.683577,-75.48931999999998,1.1428571428571428,3.721052631578947
8223,48.4,4057.0,3957.0,38.0,0.009366526990386986,73696.0,Marmora,Cape May,39.264412,-74.64986,1.3846153846153846,4.252631578947368
8752,59.7,2200.0,2137.0,23.0,0.010454545454545454,62464.0,Seaside Park,Ocean,39.920268,-74.07967,1.9,4.245
8340,31.3,1268.0,1254.0,14.0,0.011041009463722398,97583.0,Milmay,Atlantic,39.437265,-74.87926,2.0,4.358333333333333
8310,48.8,1351.0,1336.0,15.0,0.011102886750555143,61458.0,Buena,Atlantic,39.522686,-74.89684,1.4615384615384615,4.205
8063,39.1,3068.0,3011.0,35.0,0.01140808344198175,62545.0,National Park,Gloucester,39.867158,-75.1802,1.5714285714285714,4.235
8001,45.8,869.0,854.0,10.0,0.011507479861910242,68750.0,Alloway,Salem,39.559426,-75.3631,1.5,4.54
8019,42.2,1007.0,956.0,15.0,0.014895729890764648,95809.0,Chatsworth,Burlington,39.777314,-74.5354,1.0,4.7
8072,47.0,327.0,322.0,5.0,0.01529051987767584,66346.0,Quinton,Salem,39.546172,-75.41367,1.125,4.366666666666666
8848,48.2,8416.0,8185.0,138.0,0.016397338403041826,97319.0,Milford,Hunterdon,40.587606,-75.10401999999998,1.7142857142857142,4.426666666666667
8349,41.2,2202.0,2148.0,37.0,0.016802906448683014,34821.0,Port Norris,Cumberland,39.25682000000001,-75.06683000000002,1.0,4.485714285714286
7711,48.5,1617.0,1577.0,29.0,0.017934446505875078,137625.0,Allenhurst,Monmouth,40.236916,-74.0069,1.5333333333333334,4.25
7979,49.6,541.0,531.0,10.0,0.018484288354898338,130913.0,Pottersville,Hunterdon,40.713675,-74.72465,2.75,4.516666666666667
