Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude,Average Price,Average Rating
7677,46.7,5868.0,5162.0,684.0,0.1165644171779141,161250.0,Woodcliff Lake,Bergen,41.025101,-74.059762,1.8181818181818181,4.226315789473684
7450,41.3,25568.0,19443.0,5602.0,0.21910200250312886,162201.0,Ridgewood,Bergen,40.983997,-74.11438000000003,1.9333333333333333,4.29
7452,40.9,11962.0,10324.0,1485.0,0.1241431198796188,162443.0,Glen Rock,Bergen,40.961109,-74.12576,1.5,4.515
7045,46.6,10732.0,8720.0,1889.0,0.17601565411852405,162798.0,Montville,Morris,40.906152,-74.36742,1.4666666666666666,4.221052631578948
7722,45.3,10147.0,9287.0,794.0,0.07824972898393615,166706.0,Colts Neck,Monmouth,40.300226,-74.18306,1.6666666666666667,4.25
7641,45.4,3473.0,2850.0,598.0,0.17218543046357615,170417.0,Haworth,Bergen,40.958573,-73.98659,1.4444444444444444,4.427777777777778
7945,47.2,9059.0,8095.0,782.0,0.08632299370791477,171571.0,Mendham,Morris,40.782767,-74.59529,1.7692307692307692,4.285
7928,41.7,19360.0,16175.0,2916.0,0.1506198347107438,173929.0,Chatham,Morris,40.7332,-74.39735999999998,1.7692307692307692,4.326315789473684
8535,45.6,4590.0,4054.0,459.0,0.1,174205.0,Perrineville,Monmouth,40.228497,-74.45064,1.4615384615384615,4.1947368421052635
7046,43.3,4309.0,3587.0,693.0,0.16082617776746344,175556.0,Mountain Lakes,Morris,40.892021,-74.44022,1.6875,4.173684210526316
7458,45.9,11632.0,9349.0,2221.0,0.1909387895460798,176455.0,Saddle River,Bergen,41.054568,-74.09616,1.8333333333333333,4.0
7423,43.1,4162.0,3671.0,491.0,0.11797212878423835,176518.0,Ho Ho Kus,Bergen,41.001695,-74.10239,1.8181818181818181,4.385
8502,40.9,11688.0,7851.0,3683.0,0.3151095140314853,182837.0,Belle Mead,Somerset,40.460137,-74.63592,1.4285714285714286,4.225
7931,45.3,3193.0,2895.0,273.0,0.08549953022236141,186571.0,Far Hills,Somerset,40.696601,-74.63781,1.8,4.426315789473684
7311,33.2,420.0,253.0,167.0,0.3976190476190476,189750.0,Jersey City,Hudson,40.73235,-74.075391,1.0833333333333333,4.205
7043,40.9,12689.0,11049.0,1467.0,0.11561194735597763,191449.0,Montclair,Essex,40.844199,-74.20218,1.7692307692307692,4.405263157894737
8073,47.5,248.0,233.0,15.0,0.06048387096774194,193583.0,Rancocas,Burlington,40.010461,-74.86762,1.2727272727272727,4.19
7028,42.1,7791.0,6755.0,931.0,0.11949685534591195,195714.0,Glen Ridge,Essex,40.80495,-74.2047,1.6363636363636365,4.257894736842105
7021,46.6,2071.0,1910.0,148.0,0.07146306132303235,198750.0,Essex Fells,Essex,40.827499,-74.28090999999998,1.6363636363636365,4.345
8550,45.0,19486.0,12178.0,7167.0,0.3678025248896644,200049.0,Princeton Junction,Mercer,40.292358,-74.60902,1.7777777777777777,4.252631578947368
8558,45.8,7584.0,5995.0,1521.0,0.2005537974683544,201964.0,Skillman,Somerset,40.410155,-74.70725999999998,1.7894736842105263,4.273684210526316
7846,15.8,46.0,46.0,0.0,0.0,207969.0,Johnsonburg,Warren,40.966266,-74.87979,1.8,4.5600000000000005
8248,47.3,257.0,257.0,0.0,0.0,222031.0,Strathmere,Cape May,39.197394,-74.65699000000002,1.7,4.3052631578947365
7970,53.2,168.0,99.0,69.0,0.4107142857142857,233750.0,Mount Freedom,Morris,40.813281,-74.57267,1.6923076923076923,4.25
7078,42.2,13097.0,10277.0,2632.0,0.20096205237840728,250001.0,Short Hills,Essex,40.73915,-74.32749,1.8666666666666667,4.26
