ZipCode_Int,City,County,Zip Code Map,Zip Code
7001,Avenel,Middlesex,View Map,07001
7002,Bayonne,Hudson,View Map,07002
7003,Bloomfield,Essex,View Map,07003
7004,Fairfield,Essex,View Map,07004
7005,Boonton,Morris,View Map,07005
7006,Caldwell,Essex,View Map,07006
7007,Caldwell,Essex,View Map,07007
7008,Carteret,Middlesex,View Map,07008
7009,Cedar Grove,Essex,View Map,07009
7010,Cliffside Park,Bergen,View Map,07010
7011,Clifton,Passaic,View Map,07011
7012,Clifton,Passaic,View Map,07012
7013,Clifton,Passaic,View Map,07013
7014,Clifton,Passaic,View Map,07014
7015,Clifton,Passaic,View Map,07015
7016,Cranford,Union,View Map,07016
7017,East Orange,Essex,View Map,07017
7018,East Orange,Essex,View Map,07018
7019,East Orange,Essex,View Map,07019
7020,Edgewater,Bergen,View Map,07020
7021,Essex Fells,Essex,View Map,07021
7022,Fairview,Bergen,View Map,07022
7023,Fanwood,Union,View Map,07023
7024,Fort Lee,Bergen,View Map,07024
7026,Garfield,Bergen,View Map,07026
7027,Garwood,Union,View Map,07027
7028,Glen Ridge,Essex,View Map,07028
7029,Harrison,Hudson,View Map,07029
7030,Hoboken,Hudson,View Map,07030
7031,North Arlington,Bergen,View Map,07031
7032,Kearny,Hudson,View Map,07032
7033,Kenilworth,Union,View Map,07033
7034,Lake Hiawatha,Morris,View Map,07034
7035,Lincoln Park,Morris,View Map,07035
7036,Linden,Union,View Map,07036
7039,Livingston,Essex,View Map,07039
7040,Maplewood,Essex,View Map,07040
7041,Millburn,Essex,View Map,07041
7042,Montclair,Essex,View Map,07042
7043,Montclair,Essex,View Map,07043
7044,Verona,Essex,View Map,07044
7045,Montville,Morris,View Map,07045
7046,Mountain Lakes,Morris,View Map,07046
7047,North Bergen,Hudson,View Map,07047
7050,Orange,Essex,View Map,07050
7051,Orange,Essex,View Map,07051
7052,West Orange,Essex,View Map,07052
7054,Parsippany,Morris,View Map,07054
7055,Passaic,Passaic,View Map,07055
7057,Wallington,Bergen,View Map,07057
7058,Pine Brook,Morris,View Map,07058
7059,Warren,Somerset,View Map,07059
7060,Plainfield,Union,View Map,07060
7061,Plainfield,Union,View Map,07061
7062,Plainfield,Union,View Map,07062
7063,Plainfield,Union,View Map,07063
7064,Port Reading,Middlesex,View Map,07064
7065,Rahway,Union,View Map,07065
7066,Clark,Union,View Map,07066
7067,Colonia,Middlesex,View Map,07067
7068,Roseland,Essex,View Map,07068
7069,Watchung,Somerset,View Map,07069
7070,Rutherford,Bergen,View Map,07070
7071,Lyndhurst,Bergen,View Map,07071
7072,Carlstadt,Bergen,View Map,07072
7073,East Rutherford,Bergen,View Map,07073
7074,Moonachie,Bergen,View Map,07074
7075,Wood Ridge,Bergen,View Map,07075
7076,Scotch Plains,Union,View Map,07076
7077,Sewaren,Middlesex,View Map,07077
7078,Short Hills,Essex,View Map,07078
7079,South Orange,Essex,View Map,07079
7080,South Plainfield,Middlesex,View Map,07080
7081,Springfield,Union,View Map,07081
7082,Towaco,Morris,View Map,07082
7083,Union,Union,View Map,07083
7086,Weehawken,Hudson,View Map,07086
7087,Union City,Hudson,View Map,07087
7088,Vauxhall,Union,View Map,07088
7090,Westfield,Union,View Map,07090
7091,Westfield,Union,View Map,07091
7092,Mountainside,Union,View Map,07092
7093,West New York,Hudson,View Map,07093
7094,Secaucus,Hudson,View Map,07094
7095,Woodbridge,Middlesex,View Map,07095
7096,Secaucus,Hudson,View Map,07096
7097,Jersey City,Hudson,View Map,07097
7099,Kearny,Hudson,View Map,07099
7101,Newark,Essex,View Map,07101
7102,Newark,Essex,View Map,07102
7103,Newark,Essex,View Map,07103
7104,Newark,Essex,View Map,07104
7105,Newark,Essex,View Map,07105
7106,Newark,Essex,View Map,07106
7107,Newark,Essex,View Map,07107
7108,Newark,Essex,View Map,07108
7109,Belleville,Essex,View Map,07109
7110,Nutley,Essex,View Map,07110
7111,Irvington,Essex,View Map,07111
7112,Newark,Essex,View Map,07112
7114,Newark,Essex,View Map,07114
7175,Newark,Essex,View Map,07175
7182,Newark,Essex,View Map,07182
7184,Newark,Essex,View Map,07184
7188,Newark,Essex,View Map,07188
7189,Newark,Essex,View Map,07189
7191,Newark,Essex,View Map,07191
7192,Newark,Essex,View Map,07192
7193,Newark,Essex,View Map,07193
7194,Newark,Essex,View Map,07194
7195,Newark,Essex,View Map,07195
7198,Newark,Essex,View Map,07198
7199,Newark,Essex,View Map,07199
7201,Elizabeth,Union,View Map,07201
7202,Elizabeth,Union,View Map,07202
7203,Roselle,Union,View Map,07203
7204,Roselle Park,Union,View Map,07204
7205,Hillside,Union,View Map,07205
7206,Elizabeth,Union,View Map,07206
